date,E,continuoustime,movfreq_model,movefreq_real
2007/01/04/morning,147.47454336055,7800,52,63
2007/01/05/morning,Inf,7200,0,161
2007/01/05/afternoon,91.3369796904767,9600,105,137
2007/01/09/morning,Inf,7200,0,115
2007/01/09/afternoon,97.3286308851175,9600,98,120
2007/01/10/morning,Inf,7200,0,198
2007/01/10/afternoon,73.5973009584998,9600,130,143
2007/01/11/morning,52.3187220257308,7200,137,135
2007/01/11/afternoon,44.0683788771497,9600,217,243
2007/01/12/morning,49.2769242559483,7170,145,212
2007/01/12/afternoon,69.1841309038401,9600,138,154
2007/01/15/morning,46.4280194077401,7200,155,137
2007/01/15/afternoon,109.458549077317,9600,87,111
2007/01/16/morning,100.283197133141,7200,71,83
2007/01/16/afternoon,130.958839426133,9600,73,87
2007/01/17/morning,53.655809622587,7170,133,146
2007/01/17/afternoon,65907.2395129523,9600,0,181
2007/01/18/morning,Inf,7200,0,156
2007/01/18/afternoon,58.7872408256705,9600,163,209
2007/01/19/morning,53.2185504677834,7200,135,136
2007/01/19/afternoon,59.0034793536577,9600,162,187
2007/01/22/morning,138.669085590684,7170,51,94
2007/01/22/afternoon,96.3993984992955,9600,99,104
2007/01/23/morning,68.2357530811375,7200,105,108
2007/01/23/afternoon,3718.0202142795,9600,2,98
2007/01/24/morning,74.7383519779357,7169,95,109
2007/01/24/afternoon,117.965008027236,9600,81,106
2007/01/25/morning,78.8426545119032,7200,91,128
2007/01/25/afternoon,72.8700960635803,9600,131,141
2007/01/26/morning,50.2328580980744,7200,143,177
2007/01/26/afternoon,66.9234659246405,9600,143,155
2007/01/29/morning,60.9713297962622,7200,118,140
2007/01/29/afternoon,82.0773471630029,9600,116,141
2007/01/30/morning,99.1473703520021,7200,72,143
2007/01/30/afternoon,86.6644400474053,9600,110,157
2007/01/31/morning,Inf,7200,0,147
2007/01/31/afternoon,52.7504402669204,9600,181,256
2007/02/01/morning,47.0209996021481,7200,153,163
2007/02/01/afternoon,87.9092007640841,9600,109,145
2007/02/02/morning,70.4544355414289,7200,102,129
2007/02/02/afternoon,73.8104750623633,9600,130,141
2007/02/05/morning,48.7481036515191,7200,147,197
2007/02/05/afternoon,79.2726383394164,9600,121,170
2007/02/06/morning,132.721235909275,7200,54,92
2007/02/06/afternoon,174.11924680126,9600,55,79
2007/02/07/morning,58.0984386883525,7200,123,166
2007/02/07/afternoon,65.1644203989316,9600,147,162
2007/02/08/morning,66.7920367270106,7170,107,147
2007/02/08/afternoon,63.3961629002223,9600,151,171
2007/02/09/morning,1924.68605570765,7200,3,103
2007/02/09/afternoon,Inf,9600,0,209
2007/02/13/morning,Inf,7200,0,149
2007/02/13/afternoon,75.2552331178851,9600,127,164
2007/02/14/morning,1423.96065972219,7200,5,138
2007/02/14/afternoon,722.055928923011,9600,13,109
2007/02/15/morning,59.3814571758119,7170,120,146
2007/02/15/afternoon,83.0609502146436,9600,115,119
2007/02/16/morning,56.8347697390529,7200,126,122
2007/02/16/afternoon,98.8006064456248,9600,97,101
2007/02/19/morning,18533.2720877471,7200,0,111
2007/02/19/afternoon,150.581423462269,9600,63,76
2007/02/20/morning,10364.0301563384,7200,0,139
2007/02/20/afternoon,Inf,9600,0,90
2007/02/21/morning,87.9258164431434,7200,81,107
2007/02/21/afternoon,61.2752929380821,9600,156,213
2007/02/22/morning,156.272287267824,7170,45,114
2007/02/22/afternoon,134.571169601646,9600,71,113
2007/02/23/morning,116.298936437735,7200,61,89
2007/02/23/afternoon,147.899933394859,9600,64,144
2007/02/26/morning,97.4318777587358,7200,73,100
2007/02/26/afternoon,83.9797973936898,9600,114,154
2007/02/27/morning,61.9891237812049,7200,116,118
2007/02/27/afternoon,Inf,9600,0,158
2007/02/28/morning,23.798024770562,7020,294,458
2007/02/28/afternoon,44.0472393662722,9600,217,277
2007/03/01/morning,Inf,7200,0,70
2007/03/01/afternoon,67.9360858825682,9600,141,112
2007/03/02/morning,Inf,7200,0,114
2007/03/02/afternoon,Inf,9600,0,112
2007/03/05/morning,Inf,7110,0,99
2007/03/05/afternoon,Inf,9600,0,173
2007/03/06/morning,41.9994164273925,7200,171,161
2007/03/06/afternoon,79.640996783492,9600,120,143
2007/03/07/morning,Inf,7170,0,123
2007/03/07/afternoon,77.2217086250908,9600,124,181
2007/03/08/morning,60.5787331562255,7200,118,188
2007/03/08/afternoon,Inf,9600,0,300
2007/03/09/morning,48.1435551720631,7200,149,247
2007/03/09/afternoon,68.0821175105765,9600,141,193
2007/03/12/morning,70.4186103224057,7170,101,142
2007/03/12/afternoon,85.746958556593,9600,111,165
2007/03/13/morning,63.6682364119553,7200,113,143
2007/03/13/afternoon,55.4212784249302,9600,173,246
2007/03/14/morning,34.3288803392133,7050,205,256
2007/03/14/afternoon,48.2026181954882,9600,199,248
2007/03/15/morning,38.6862276656045,7140,184,172
2007/03/15/afternoon,51.2603621720627,9600,187,200
2007/03/16/morning,46.8737017108477,7200,153,230
2007/03/16/afternoon,42.1030616799762,9600,228,282
2007/03/19/morning,1637.7218441937,7200,4,273
2007/03/19/afternoon,58.5768596087943,9600,163,199
2007/03/20/morning,53.7490531052914,7170,133,169
2007/03/20/afternoon,74.092162541421,9600,129,160
2007/03/22/morning,105.013769453341,7110,67,135
2007/03/22/afternoon,125.315496094437,9600,76,101
2007/03/23/morning,52.7122362320757,7200,136,172
2007/03/23/afternoon,84.4480049770283,9600,113,143
2007/03/26/morning,84.8150882153573,7200,84,115
2007/03/26/afternoon,388.040597022339,9600,24,121
2007/03/27/morning,Inf,7172,0,134
2007/03/27/afternoon,54.1156180209736,9600,177,186
2007/03/28/morning,47.7010069548505,7200,150,111
2007/03/28/afternoon,23.7152999809056,9600,404,297
2007/03/29/morning,50.3535179431946,7170,142,168
2007/03/29/afternoon,54.650132815019,9570,175,239
2007/03/30/morning,48.2770910957295,7200,149,163
2007/03/30/afternoon,70.4649961286215,9600,136,156
2007/04/02/morning,56.1030942309043,7200,128,117
2007/04/02/afternoon,Inf,9600,0,295
2007/04/03/morning,64.690389164064,7170,110,127
2007/04/03/afternoon,74.9557817035048,9600,128,143
2007/04/04/morning,42.3496975148808,7140,168,144
2007/04/04/afternoon,82.49816923199,9600,116,120
2007/04/05/morning,44.5686743324207,7200,161,144
2007/04/05/afternoon,84.3365053078105,9600,113,110
2007/04/06/morning,37.362265575624,7200,192,126
2007/04/06/afternoon,104.529367181301,9600,91,68
2007/04/09/morning,46.1651291079989,7170,155,128
2007/04/09/afternoon,123.705801188959,9600,77,90
2007/04/10/morning,46.2902584645806,7200,155,89
2007/04/10/afternoon,64.2091972870303,9600,149,100
2007/04/11/morning,80.0807059945262,7200,89,85
2007/04/11/afternoon,108.711926871158,9600,88,92
2007/04/12/morning,Inf,7200,0,162
2007/04/12/afternoon,121.85143075456,9600,78,116
2007/04/13/morning,Inf,7170,0,102
2007/04/13/afternoon,49.4988237170276,9600,193,226
2007/04/16/morning,Inf,7140,0,113
2007/04/16/afternoon,59.0894240975715,9600,162,140
2007/04/17/morning,7897.16927748542,7170,0,153
2007/04/17/afternoon,49.3684473445334,9600,194,215
2007/04/18/morning,36.4945162378816,7200,197,155
2007/04/18/afternoon,75.1626972210832,9600,127,144
2007/04/19/morning,30.3033845053222,7169,236,279
2007/04/19/afternoon,32.1880416728483,9594,298,326
2007/04/20/morning,51.7831590970643,7170,138,172
2007/04/20/afternoon,1136.33316432712,9600,8,91
2007/04/23/morning,77.8159103640119,7140,91,123
2007/04/23/afternoon,49.8096962075431,9600,192,249
2007/04/24/morning,33.601678949126,7170,213,210
2007/04/24/afternoon,46.4361037790127,9600,206,244
2007/04/25/morning,45.417863857929,7200,158,171
2007/04/25/afternoon,79.3177563522576,9600,121,173
2007/04/26/morning,78.1198243053852,7170,91,139
2007/04/26/afternoon,81.8477080404382,9600,117,167
2007/04/27/morning,35.961733583454,7175,199,228
2007/04/27/afternoon,45.9273929651453,9600,209,311
2007/05/01/morning,45.0637347394617,7200,159,267
2007/05/01/afternoon,87.9443060703546,9600,109,168
2007/05/02/morning,54.5642708756994,7200,131,111
2007/05/02/afternoon,Inf,9600,0,186
2007/05/07/morning,69.5584323324297,7140,102,123
2007/05/07/afternoon,82.8870701004932,9600,115,125
2007/05/08/morning,88.9099648018288,7200,80,97
2007/05/08/afternoon,114.193419304573,9600,84,106
2007/05/09/morning,69.0165119650022,7200,104,135
2007/05/09/afternoon,Inf,9600,0,152
2007/05/10/morning,59.8505383339045,7200,120,120
2007/05/10/afternoon,105.055353759889,9600,91,121
2007/05/11/morning,43.3027896253892,7170,165,212
2007/05/11/afternoon,90.5535828767476,9600,106,109
2007/05/14/morning,79.5060798293175,7170,90,76
2007/05/14/afternoon,Inf,9600,0,100
2007/05/15/morning,46.713608520062,7170,153,139
2007/05/15/afternoon,79.4714665052199,9600,120,147
2007/05/16/morning,64.418260386129,7200,111,122
2007/05/16/afternoon,Inf,9600,0,107
2007/05/17/morning,73.2601293271256,7200,98,115
2007/05/17/afternoon,826.086767780359,9600,11,128
2007/05/18/morning,Inf,7200,0,126
2007/05/18/afternoon,50.0660212083981,9600,191,215
2007/05/21/morning,48.2780300329508,7200,149,148
2007/05/21/afternoon,66.628060764552,9600,144,124
2007/05/22/morning,61.7262402564961,7200,116,155
2007/05/22/afternoon,55.0389097645235,9600,174,182
2007/05/23/morning,53.7445465133677,7200,133,149
2007/05/23/afternoon,70.3606891434354,9600,136,152
2007/05/24/morning,69.4744589150881,7200,103,101
2007/05/24/afternoon,74.8121535457868,9600,128,163
2007/05/25/morning,38.7704243799164,7170,184,200
2007/05/25/afternoon,120.734832715789,9600,79,106
2007/05/28/morning,62.4342837394709,7170,114,125
2007/05/28/afternoon,118.905801359213,9600,80,111
2007/05/29/morning,Inf,7200,0,131
2007/05/29/afternoon,160.394802652073,9600,59,72
2007/05/30/morning,54.2332000987092,7200,132,156
2007/05/30/afternoon,47.7794884902597,9600,200,228
2007/05/31/morning,36.7973693917382,7170,194,186
2007/05/31/afternoon,64.9917595135609,9600,147,166
2007/06/01/morning,141.752298689835,7200,50,64
2007/06/01/afternoon,144.353644543689,9600,66,46
2007/06/04/morning,Inf,7170,0,58
2007/06/04/afternoon,179.88443915967,9600,53,64
2007/06/05/morning,Inf,7200,0,122
2007/06/05/afternoon,Inf,9600,0,96
2007/06/06/morning,Inf,7200,0,85
2007/06/06/afternoon,159.272317032997,9600,60,73
2007/06/07/morning,56.4319994855069,7170,127,91
2007/06/07/afternoon,Inf,9600,0,146
2007/06/08/morning,29.4797381635659,7140,242,269
2007/06/08/afternoon,85.0782512868651,9600,112,98
2007/06/11/morning,125.995362270372,7170,56,92
2007/06/11/afternoon,911.434666238787,9600,10,77
2007/06/12/morning,Inf,7200,0,93
2007/06/12/afternoon,108.979335534315,9600,88,107
2007/06/13/morning,69.0899469695555,7170,103,127
2007/06/13/afternoon,112.165527479973,9600,85,116
2007/06/14/morning,78.3754976157548,7170,91,68
2007/06/14/afternoon,193.387175610519,9600,49,38
2007/06/15/morning,372.187919262871,7200,19,34
2007/06/15/afternoon,121.865670304996,9600,78,84
2007/06/18/morning,104.708083792517,7170,68,69
2007/06/18/afternoon,126.109508650364,9600,76,100
2007/06/19/morning,77.9282880946538,7200,92,41
2007/06/19/afternoon,263.587837108426,9600,36,41
2007/06/20/morning,Inf,7200,0,73
2007/06/20/afternoon,107.200510876292,9600,89,85
2007/06/21/morning,Inf,7170,0,81
2007/06/21/afternoon,147.922846711786,9600,64,62
2007/06/22/morning,79.5504157046212,7200,90,89
2007/06/22/afternoon,102.048262358299,9600,94,126
2007/06/25/morning,91.7289072278366,7200,78,101
2007/06/25/afternoon,75.1302926706116,9600,127,103
2007/06/26/morning,79.584400228712,7200,90,142
2007/06/26/afternoon,105.244239462036,9600,91,99
2007/06/27/morning,79.9935150544116,7200,90,98
2007/06/27/afternoon,Inf,9600,0,115
2007/06/28/morning,95.8883519983342,7200,75,92
2007/06/28/afternoon,138.154058455444,9600,69,71
2007/06/29/morning,Inf,7200,0,108
2007/06/29/afternoon,87.387152571434,9600,109,142
2007/07/02/morning,122.357672850627,7200,58,89
2007/07/02/afternoon,Inf,9600,0,60
2007/07/03/morning,259.612768594105,7200,27,49
2007/07/03/afternoon,188.957202381988,9600,50,49
2007/07/04/morning,82.5598017818316,7200,87,77
2007/07/04/afternoon,223.20310004804,9600,43,49
2007/07/05/morning,Inf,7200,0,83
2007/07/05/afternoon,Inf,9600,0,54
2007/07/06/morning,Inf,7200,0,115
2007/07/06/afternoon,Inf,9600,0,64
2007/07/09/morning,129262.601871977,7200,0,46
2007/07/09/afternoon,248.546390353119,9600,38,25
2007/07/10/morning,160.051463117748,7200,44,37
2007/07/10/afternoon,705.8459436052,9600,13,25
2007/07/11/morning,59.7393689386897,7170,120,84
2007/07/11/afternoon,146.191159508174,9600,65,51
2007/07/12/morning,177.123104155082,7200,40,41
2007/07/12/afternoon,Inf,9600,0,112
2007/07/13/morning,Inf,7140,0,105
2007/07/13/afternoon,117.775075213557,9600,81,50
2007/07/17/morning,123.542457821337,7200,58,57
2007/07/17/afternoon,218.247525844086,9600,43,45
2007/07/18/morning,Inf,7200,0,164
2007/07/18/afternoon,100.985857528329,9600,95,91
2007/07/19/morning,144.726835956666,7200,49,84
2007/07/19/afternoon,170.980110069234,9600,56,62
2007/07/20/morning,107.148903111173,7200,67,76
2007/07/20/afternoon,222.867254584269,9600,43,39
2007/07/23/morning,77.6688376813677,7170,92,98
2007/07/23/afternoon,189.051395831238,9600,50,44
2007/07/24/morning,76.2206606085886,7200,94,115
2007/07/24/afternoon,150723.804045708,9600,0,40
2007/07/25/morning,49.4993615923291,7140,144,139
2007/07/25/afternoon,80.4711829008273,9600,119,81
2007/07/26/morning,85.8959457188172,7200,83,100
2007/07/26/afternoon,66.9218322997063,9600,143,122
2007/07/27/morning,37.2918732918136,7080,189,262
2007/07/27/afternoon,37.8934659960822,9600,253,202
2007/07/30/morning,42.8970314664254,7140,166,216
2007/07/30/afternoon,71.625684407176,9600,134,157
2007/07/31/morning,64.0207310917707,7200,112,143
2007/07/31/afternoon,86.6299487330351,9600,110,103
2007/08/01/morning,33.8206104879023,7140,211,189
2007/08/01/afternoon,28.7914963397565,9600,333,331
2007/08/02/morning,33.7005510742149,7170,212,179
2007/08/02/afternoon,20.3713279566962,9570,469,477
2007/08/03/morning,38.6267101990609,7200,186,195
2007/08/03/afternoon,32.4019570058093,9600,296,288
2007/08/06/morning,35.1268276017167,7110,202,229
2007/08/06/afternoon,37.8058642332308,9600,253,241
2007/08/07/morning,37.9061714813965,7140,188,180
2007/08/07/afternoon,38.4906283588606,9600,249,264
2007/08/08/morning,27.2205460660747,7200,264,347
2007/08/08/afternoon,48.2748366618796,9600,198,171
2007/08/09/morning,49.3265615009428,7170,145,164
2007/08/09/afternoon,79.0959252102185,9600,121,124
2007/08/10/morning,27.8639314950998,7050,253,311
2007/08/10/afternoon,30.3936160389818,9600,315,282
2007/08/13/morning,28.7092976043433,7200,250,299
2007/08/13/afternoon,47.1580315625427,9600,203,216
2007/08/14/morning,36.7333529455019,7200,196,214
2007/08/14/afternoon,64.3360434440365,9600,149,130
2007/08/15/morning,57.1754976590749,7140,124,136
2007/08/15/afternoon,36.0833369938438,9600,266,279
2007/08/16/morning,17.8764916266258,7142,399,391
2007/08/16/afternoon,16.3030447134712,9600,588,697
2007/08/17/morning,19.077026486135,7200,377,426
2007/08/17/afternoon,13.289360883474,9600,722,1037
2007/08/20/morning,22.4329809228406,7020,312,407
2007/08/20/afternoon,23.3264620175124,9600,411,521
2007/08/21/morning,26.5126583884634,7200,271,316
2007/08/21/afternoon,22.9917721935812,9600,417,493
2007/08/22/morning,29.6697810547463,7200,242,254
2007/08/22/afternoon,39.094119091014,9600,245,294
2007/08/23/morning,32.4296129964486,7080,218,221
2007/08/23/afternoon,42.9392451655149,9600,223,249
2007/08/24/morning,43.4125684829463,7200,165,140
2007/08/24/afternoon,52.6398266641994,9600,182,185
2007/08/27/morning,44.384072311405,7110,160,113
2007/08/27/afternoon,37.0734625619536,9600,258,222
2007/08/28/morning,140.464364989918,7170,51,127
2007/08/28/afternoon,66.6468460139242,9600,144,148
2007/08/29/morning,38.6561275774479,7050,182,242
2007/08/29/afternoon,47.6625650069374,9600,201,217
2007/08/30/morning,42.0380591679593,7140,169,158
2007/08/30/afternoon,39.5281654869678,9600,242,302
2007/08/31/morning,61.2457622966747,7170,117,150
2007/08/31/afternoon,38.3985608172053,9600,250,330
2007/09/03/morning,Inf,7181,0,55
2007/09/03/afternoon,Inf,9600,0,38
2007/09/04/morning,Inf,7200,0,53
2007/09/04/afternoon,Inf,9600,0,41
2007/09/05/morning,Inf,7170,0,63
2007/09/05/afternoon,Inf,9600,0,145
2007/09/06/morning,36.0550785229621,7140,198,146
2007/09/06/afternoon,38.6543052738323,9600,248,180
2007/09/07/morning,79.5915420469171,7170,90,98
2007/09/07/afternoon,67.6912037545408,9600,141,103
2007/09/10/morning,45.3564078126735,7080,156,149
2007/09/10/afternoon,57.5117082859307,9600,166,196
2007/09/11/morning,44.0662392494223,7200,163,148
2007/09/11/afternoon,41.6814951298524,9600,230,207
2007/09/12/morning,Inf,7170,0,116
2007/09/12/afternoon,28.0019072605231,9600,342,318
2007/09/13/morning,284.780308405347,7170,25,187
2007/09/13/afternoon,55.959240465289,9600,171,265
2007/09/14/morning,42.2689482463244,7170,169,203
2007/09/14/afternoon,34.1179522760942,9600,281,315
2007/09/18/morning,29.7448653838712,7170,241,231
2007/09/18/afternoon,44.9921221162153,9600,213,230
2007/09/19/morning,38.928722563809,7021,180,158
2007/09/19/afternoon,50.9400731414909,9600,188,199
2007/09/20/morning,24.1667123966846,7170,296,155
2007/09/20/afternoon,57.2392478804605,9600,167,171
2007/09/21/morning,35.8070327662848,7170,200,118
2007/09/21/afternoon,43.1330032124855,9600,222,183
2007/09/25/morning,53.7960040107937,7170,133,122
2007/09/25/afternoon,56.9093249029936,9600,168,140
2007/09/26/morning,50.5304366674393,7200,142,122
2007/09/26/afternoon,95.1528631448554,9600,100,78
2007/09/27/morning,73.6530706961528,7170,97,89
2007/09/27/afternoon,53.1236805568796,9600,180,170
2007/09/28/morning,38.9217436756726,7170,184,133
2007/09/28/afternoon,42.9110242657819,9600,223,209
2007/10/01/morning,70.7690403309961,7200,101,138
2007/10/01/afternoon,43.7222397528082,9600,219,189
2007/10/02/morning,37.5344861064482,7110,189,115
2007/10/02/afternoon,75.7385816708076,9600,126,111
2007/10/03/morning,61.6372939853128,7200,116,121
2007/10/03/afternoon,60.0329185231647,9600,159,150
2007/10/04/morning,42.3545586359582,7170,169,156
2007/10/04/afternoon,63.1949314813324,9600,151,140
2007/10/05/morning,66.4133337597048,7200,108,102
2007/10/05/afternoon,70.042612769379,9600,137,141
2007/10/09/morning,86.5622264975376,7170,82,93
2007/10/09/afternoon,89.7293140180308,9600,106,118
2007/10/10/morning,76.9415573347183,7200,93,66
2007/10/10/afternoon,97.8775229228719,9600,98,94
2007/10/11/morning,69.1412685693059,7200,104,74
2007/10/11/afternoon,43.4720311063646,9600,220,289
2007/10/12/morning,63.6484579825577,7200,113,105
2007/10/12/afternoon,46.6259972542421,9600,205,205
2007/10/15/morning,133.357074068686,7170,53,63
2007/10/15/afternoon,77.3212953713274,9600,124,106
2007/10/16/morning,33.2963071002321,7170,215,158
2007/10/16/afternoon,Inf,9600,0,139
2007/10/17/morning,28.8516331572129,7200,249,181
2007/10/17/afternoon,23.5203102772604,9600,408,442
2007/10/18/morning,33.5724346932025,7200,214,171
2007/10/18/afternoon,35.9830306369349,9600,266,288
2007/10/19/morning,32.9494704855962,7140,216,188
2007/10/19/afternoon,33.0388630286138,9600,290,295
2007/10/22/morning,39.5134759602258,7020,177,210
2007/10/22/afternoon,47.2071417248704,9600,203,210
2007/10/23/morning,58.9010989332242,7200,122,96
2007/10/23/afternoon,74.2636388525885,9600,129,102
2007/10/24/morning,60.8343686935491,7200,118,94
2007/10/24/afternoon,44.4691797637192,9600,215,268
2007/10/25/morning,42.3125568409715,7200,170,160
2007/10/25/afternoon,38.8022661252299,9600,247,298
2007/10/26/morning,51.4337193914724,7170,139,142
2007/10/26/afternoon,44.6127742232445,9600,215,208
2007/10/29/morning,43.6025777757431,7140,163,98
2007/10/29/afternoon,69.9040380219776,9600,137,187
2007/10/30/morning,86.3234290779989,7170,83,113
2007/10/30/afternoon,61.1900538081285,9600,156,169
2007/10/31/morning,47.1936364741065,7200,152,123
2007/10/31/afternoon,48.4683219493802,9600,198,178
2007/11/01/morning,68.9006128010382,7170,104,106
2007/11/01/afternoon,69.2820037173806,9600,138,140
2007/11/02/morning,44.3424357593089,7080,159,137
2007/11/02/afternoon,60.6313191453172,9600,158,204
2007/11/05/morning,63.9480652179914,7200,112,109
2007/11/05/afternoon,63.4501829075686,9600,151,184
2007/11/06/morning,36.1898364413768,7170,198,186
2007/11/06/afternoon,53.718842289181,9600,178,170
2007/11/07/morning,76.1902754323098,7200,94,107
2007/11/07/afternoon,36.1940798407486,9600,265,258
2007/11/08/morning,33.6316274196682,7080,210,173
2007/11/08/afternoon,32.1850780730969,9600,298,309
2007/11/09/morning,28.5513686926485,7200,252,232
2007/11/09/afternoon,29.376615422729,9600,326,359
2007/11/12/morning,25.9155377649994,7110,274,239
2007/11/12/afternoon,24.6645247856597,9571,388,399
2007/11/13/morning,26.5608520897739,7200,271,241
2007/11/13/afternoon,22.0544634167102,9600,435,494
2007/11/14/morning,30.026051314941,7080,235,212
2007/11/14/afternoon,62.1032639031552,9600,154,144
2007/11/15/morning,52.743558923455,7200,136,138
2007/11/15/afternoon,42.3905948931288,9600,226,234
2007/11/16/morning,29.1271735700288,7140,245,214
2007/11/16/afternoon,45.2463993775358,9570,211,229
2007/11/19/morning,31.5353042053156,7200,228,166
2007/11/19/afternoon,39.4265355941138,9600,243,308
2007/11/20/morning,24.2594853388466,7140,294,223
2007/11/20/afternoon,5641.62864556204,9600,1,415
2007/11/21/morning,24.8993436130917,7170,287,285
2007/11/21/afternoon,21.0882246836153,9600,455,509
2007/11/22/morning,16.1810584821693,7170,443,411
2007/11/22/afternoon,24.8417356560827,9570,385,438
2007/11/26/morning,35.9672087461099,7144,198,168
2007/11/26/afternoon,31.8708779528269,9570,300,306
2007/11/27/morning,31.9247935314977,7080,221,167
2007/11/27/afternoon,20.6639596283296,9480,458,650
2007/11/28/morning,35.8801520265705,7200,200,164
2007/11/28/afternoon,37.1089902128805,9600,258,217
2007/11/29/morning,37.9196960348934,7080,186,168
2007/11/29/afternoon,56.7228217178193,9600,169,183
2007/11/30/morning,62.0142616256507,7200,116,130
2007/11/30/afternoon,55.6466392603663,9600,172,184
2007/12/03/morning,Inf,7200,0,76
2007/12/03/afternoon,105.604145024194,9600,90,103
2007/12/04/morning,Inf,7200,0,64
2007/12/04/afternoon,Inf,9600,0,97
2007/12/05/morning,101.776366240159,7200,70,74
2007/12/05/afternoon,Inf,9600,0,120
2007/12/06/morning,89.2973456439397,7140,79,95
2007/12/06/afternoon,Inf,9600,0,118
2007/12/07/morning,81.1216780073245,7170,88,71
2007/12/07/afternoon,Inf,9600,0,152
2007/12/10/morning,Inf,7200,0,87
2007/12/10/afternoon,Inf,9600,0,161
2007/12/11/morning,127.532711601276,7165,56,81
2007/12/11/afternoon,108.728382454567,9600,88,135
2007/12/12/morning,59.394826306494,7080,119,113
2007/12/12/afternoon,Inf,9600,0,206
2007/12/13/morning,52.4670627402583,7170,136,165
2007/12/13/afternoon,Inf,9600,0,296
2007/12/14/morning,32.6535017381877,7186,220,262
2007/12/14/afternoon,31.9687121961252,9600,300,439
2007/12/17/morning,49.634176725523,7170,144,145
2007/12/17/afternoon,22020.4007645903,9571,0,253
2007/12/18/morning,34.0207801157297,7170,210,195
2007/12/18/afternoon,37.182303306547,9571,257,356
2007/12/19/morning,60.4118871585764,7200,119,157
2007/12/19/afternoon,50.9584792459216,9600,188,185
2007/12/20/morning,66.1103656026875,7170,108,135
2007/12/20/afternoon,54.4605448063486,9600,176,214
2007/12/21/morning,32.0570288819798,7200,224,207
2007/12/21/afternoon,40.1983446543298,9600,238,234
2007/12/25/morning,38.7737276859531,7111,183,123
2007/12/25/afternoon,Inf,9600,0,64
2007/12/26/morning,71.6301139688482,7200,100,61
2007/12/26/afternoon,Inf,9600,0,67
2007/12/27/morning,Inf,7200,0,53
2007/12/27/afternoon,78.9018618146588,9600,121,106
2007/12/28/morning,Inf,7740,0,180
